,zip_code,week_number,week_start,week_end,cases_weekly,cases_cumulative,case_rate_weekly,case_rate_cumulative,tests_weekly,tests_cumulative,test_rate_weekly,test_rate_cumulative,percent_tested_positive_weekly,percent_tested_positive_cumulative,deaths_weekly,deaths_cumulative,death_rate_weekly,death_rate_cumulative,population,row_id,zip_code_location,:@computed_region_rpca_8um6,:@computed_region_vrxf_vc4k,:@computed_region_6mkv_f3dw,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu
519,60653,11,2022-03-13T00:00:00.000,2022-03-19T00:00:00.000,8,6247,25,19539,2335,132097,7303.3,413164.6,0.005,0.054,0,99,0,309.6,31972,60653-2022-11,"{'type': 'Point', 'coordinates': [-87.611244, 41.819261]}",36,4,4301,583,10
520,60653,12,2022-03-20T00:00:00.000,2022-03-26T00:00:00.000,8,6255,25,19564,2139,134236,6690.2,419854.9,0.006,0.053,0,99,0,309.6,31972,60653-2022-12,"{'type': 'Point', 'coordinates': [-87.611244, 41.819261]}",36,4,4301,583,10
521,60653,13,2022-03-27T00:00:00.000,2022-04-02T00:00:00.000,13,6268,40.7,19604.7,2069,136305,6471.3,426326.2,0.005,0.052,0,99,0,309.6,31972,60653-2022-13,"{'type': 'Point', 'coordinates': [-87.611244, 41.819261]}",36,4,4301,583,10
522,60653,14,2022-04-03T00:00:00.000,2022-04-09T00:00:00.000,29,6297,90.7,19695.4,2353,138658,7359.6,433685.7,0.015,0.052,0,99,0,309.6,31972,60653-2022-14,"{'type': 'Point', 'coordinates': [-87.611244, 41.819261]}",36,4,4301,583,10
523,60653,15,2022-04-10T00:00:00.000,2022-04-16T00:00:00.000,31,6328,97,19792.3,730,139388,2283.2,435969,0.047,0.051,0,99,0,309.6,31972,60653-2022-15,"{'type': 'Point', 'coordinates': [-87.611244, 41.819261]}",36,4,4301,583,10
524,60651,13,2024-03-24T00:00:00.000,2024-03-30T00:00:00.000,7,19216,11.1,30396.4,0,0,0,0,0,0,0,191,0,302.1,63218,60651-2024-13,"{'type': 'Point', 'coordinates': [-87.741017, 41.901964]}",5,24,4299,99,45
525,60666,20,2021-05-16T00:00:00.000,2021-05-22T00:00:00.000,,,,,0,0,0,0,0,0,0,0,0,0,0,60666-2021-20,"{'type': 'Point', 'coordinates': [-87.896371, 41.979511]}",38,75,16197,668,29
526,60666,3,2021-01-17T00:00:00.000,2021-01-23T00:00:00.000,,,,,0,0,0,0,0,0,0,0,0,0,0,60666-2021-3,"{'type': 'Point', 'coordinates': [-87.896371, 41.979511]}",38,75,16197,668,29
527,60666,24,2021-06-13T00:00:00.000,2021-06-19T00:00:00.000,,,,,0,0,0,0,0,0,0,0,0,0,0,60666-2021-24,"{'type': 'Point', 'coordinates': [-87.896371, 41.979511]}",38,75,16197,668,29
528,60666,28,2021-07-11T00:00:00.000,2021-07-17T00:00:00.000,,,,,0,0,0,0,0,0,0,0,0,0,0,60666-2021-28,"{'type': 'Point', 'coordinates': [-87.896371, 41.979511]}",38,75,16197,668,29
529,60666,29,2021-07-18T00:00:00.000,2021-07-24T00:00:00.000,,,,,0,0,0,0,0,0,0,0,0,0,0,60666-2021-29,"{'type': 'Point', 'coordinates': [-87.896371, 41.979511]}",38,75,16197,668,29
530,60666,33,2021-08-15T00:00:00.000,2021-08-21T00:00:00.000,,,,,0,0,0,0,0,0,0,0,0,0,0,60666-2021-33,"{'type': 'Point', 'coordinates': [-87.896371, 41.979511]}",38,75,16197,668,29
531,60666,32,2021-08-08T00:00:00.000,2021-08-14T00:00:00.000,,,,,0,0,0,0,0,0,0,0,0,0,0,60666-2021-32,"{'type': 'Point', 'coordinates': [-87.896371, 41.979511]}",38,75,16197,668,29
532,60666,25,2021-06-20T00:00:00.000,2021-06-26T00:00:00.000,,,,,0,0,0,0,0,0,0,0,0,0,0,60666-2021-25,"{'type': 'Point', 'coordinates': [-87.896371, 41.979511]}",38,75,16197,668,29
533,60666,31,2021-08-01T00:00:00.000,2021-08-07T00:00:00.000,,,,,0,0,0,0,0,0,0,0,0,0,0,60666-2021-31,"{'type': 'Point', 'coordinates': [-87.896371, 41.979511]}",38,75,16197,668,29
534,60666,26,2021-06-27T00:00:00.000,2021-07-03T00:00:00.000,,,,,0,0,0,0,0,0,0,0,0,0,0,60666-2021-26,"{'type': 'Point', 'coordinates': [-87.896371, 41.979511]}",38,75,16197,668,29
535,60666,35,2021-08-29T00:00:00.000,2021-09-04T00:00:00.000,,,,,0,0,0,0,0,0,0,0,0,0,0,60666-2021-35,"{'type': 'Point', 'coordinates': [-87.896371, 41.979511]}",38,75,16197,668,29
536,60666,21,2021-05-23T00:00:00.000,2021-05-29T00:00:00.000,,,,,0,0,0,0,0,0,0,0,0,0,0,60666-2021-21,"{'type': 'Point', 'coordinates': [-87.896371, 41.979511]}",38,75,16197,668,29
537,60666,30,2021-07-25T00:00:00.000,2021-07-31T00:00:00.000,,,,,0,0,0,0,0,0,0,0,0,0,0,60666-2021-30,"{'type': 'Point', 'coordinates': [-87.896371, 41.979511]}",38,75,16197,668,29
538,60666,23,2021-06-06T00:00:00.000,2021-06-12T00:00:00.000,,,,,0,0,0,0,0,0,0,0,0,0,0,60666-2021-23,"{'type': 'Point', 'coordinates': [-87.896371, 41.979511]}",38,75,16197,668,29
539,60666,34,2021-08-22T00:00:00.000,2021-08-28T00:00:00.000,,,,,0,0,0,0,0,0,0,0,0,0,0,60666-2021-34,"{'type': 'Point', 'coordinates': [-87.896371, 41.979511]}",38,75,16197,668,29
540,60666,27,2021-07-04T00:00:00.000,2021-07-10T00:00:00.000,,,,,0,0,0,0,0,0,0,0,0,0,0,60666-2021-27,"{'type': 'Point', 'coordinates': [-87.896371, 41.979511]}",38,75,16197,668,29
541,60666,22,2021-05-30T00:00:00.000,2021-06-05T00:00:00.000,,,,,0,0,0,0,0,0,0,0,0,0,0,60666-2021-22,"{'type': 'Point', 'coordinates': [-87.896371, 41.979511]}",38,75,16197,668,29
542,60653,43,2023-10-22T00:00:00.000,2023-10-28T00:00:00.000,4,9197,12.5,28765.8,130,214074,406.6,669567.1,0.031,0.049,0,103,0,322.2,31972,60653-2023-43,"{'type': 'Point', 'coordinates': [-87.611244, 41.819261]}",36,4,4301,583,10
543,60653,44,2023-10-29T00:00:00.000,2023-11-04T00:00:00.000,8,9205,25,28790.8,157,214231,491.1,670058.2,0.045,0.049,0,103,0,322.2,31972,60653-2023-44,"{'type': 'Point', 'coordinates': [-87.611244, 41.819261]}",36,4,4301,583,10
544,60653,45,2023-11-05T00:00:00.000,2023-11-11T00:00:00.000,19,9224,59.4,28850.2,214,214445,669.3,670727.5,0.084,0.049,0,103,0,322.2,31972,60653-2023-45,"{'type': 'Point', 'coordinates': [-87.611244, 41.819261]}",36,4,4301,583,10
545,60653,46,2023-11-12T00:00:00.000,2023-11-18T00:00:00.000,16,9240,50,28900.3,178,214623,556.7,671284.2,0.09,0.049,0,103,0,322.2,31972,60653-2023-46,"{'type': 'Point', 'coordinates': [-87.611244, 41.819261]}",36,4,4301,583,10
546,60653,47,2023-11-19T00:00:00.000,2023-11-25T00:00:00.000,15,9255,46.9,28947.2,118,214741,369.1,671653.3,0.119,0.049,0,103,0,322.2,31972,60653-2023-47,"{'type': 'Point', 'coordinates': [-87.611244, 41.819261]}",36,4,4301,583,10
547,60653,48,2023-11-26T00:00:00.000,2023-12-02T00:00:00.000,36,9291,112.6,29059.8,221,214962,691.2,672344.6,0.158,0.049,0,103,0,322.2,31972,60653-2023-48,"{'type': 'Point', 'coordinates': [-87.611244, 41.819261]}",36,4,4301,583,10
548,60653,49,2023-12-03T00:00:00.000,2023-12-09T00:00:00.000,31,9322,97,29156.8,229,215191,716.3,673060.8,0.144,0.049,0,103,0,322.2,31972,60653-2023-49,"{'type': 'Point', 'coordinates': [-87.611244, 41.819261]}",36,4,4301,583,10
549,60653,50,2023-12-10T00:00:00.000,2023-12-16T00:00:00.000,39,9361,122,29278.7,253,215444,791.3,673852.1,0.166,0.049,0,103,0,322.2,31972,60653-2023-50,"{'type': 'Point', 'coordinates': [-87.611244, 41.819261]}",36,4,4301,583,10
550,60659,12,2024-03-17T00:00:00.000,2024-03-23T00:00:00.000,5,12870,12.2,31338.3,0,0,0,0,0,0,0,138,0,336,41068,60659-2024-12,"{'type': 'Point', 'coordinates': [-87.703266, 41.990803]}",50,20,4450,30,27
551,60659,13,2024-03-24T00:00:00.000,2024-03-30T00:00:00.000,12,12882,29.2,31367.5,0,0,0,0,0,0,0,138,0,336,41068,60659-2024-13,"{'type': 'Point', 'coordinates': [-87.703266, 41.990803]}",50,20,4450,30,27
552,60707,7,2024-02-11T00:00:00.000,2024-02-17T00:00:00.000,12,6225,27.9,14470.4,,0,0,0,0,0,0,68,0,158.1,43019,60707-2024-7,"{'type': 'Point', 'coordinates': [-87.808283, 41.921777]}",,,4454,,
553,60707,8,2024-02-18T00:00:00.000,2024-02-24T00:00:00.000,6,6231,13.9,14484.3,,0,0,0,0,0,0,68,0,158.1,43019,60707-2024-8,"{'type': 'Point', 'coordinates': [-87.808283, 41.921777]}",,,4454,,
554,60659,42,2023-10-15T00:00:00.000,2023-10-21T00:00:00.000,16,12359,39,30094,136,230622,331.2,561561.3,0.125,0.059,0,132,0,321.4,41068,60659-2023-42,"{'type': 'Point', 'coordinates': [-87.703266, 41.990803]}",50,20,4450,30,27
555,60659,43,2023-10-22T00:00:00.000,2023-10-28T00:00:00.000,15,12374,36.5,30130.5,138,230760,336,561897.3,0.101,0.059,1,133,2.4,323.9,41068,60659-2023-43,"{'type': 'Point', 'coordinates': [-87.703266, 41.990803]}",50,20,4450,30,27
556,60659,44,2023-10-29T00:00:00.000,2023-11-04T00:00:00.000,15,12389,36.5,30167,142,230902,345.8,562243.1,0.092,0.059,0,133,0,323.9,41068,60659-2023-44,"{'type': 'Point', 'coordinates': [-87.703266, 41.990803]}",50,20,4450,30,27
557,60659,46,2023-11-12T00:00:00.000,2023-11-18T00:00:00.000,30,12439,73,30288.8,214,231303,521.1,563219.5,0.145,0.059,1,134,2.4,326.3,41068,60659-2023-46,"{'type': 'Point', 'coordinates': [-87.703266, 41.990803]}",50,20,4450,30,27
558,60659,47,2023-11-19T00:00:00.000,2023-11-25T00:00:00.000,27,12466,65.7,30354.5,202,231505,491.9,563711.4,0.139,0.059,0,134,0,326.3,41068,60659-2023-47,"{'type': 'Point', 'coordinates': [-87.703266, 41.990803]}",50,20,4450,30,27
559,60659,48,2023-11-26T00:00:00.000,2023-12-02T00:00:00.000,35,12501,85.2,30439.8,239,231744,582,564293.4,0.155,0.059,1,135,2.4,328.7,41068,60659-2023-48,"{'type': 'Point', 'coordinates': [-87.703266, 41.990803]}",50,20,4450,30,27
560,60659,49,2023-12-03T00:00:00.000,2023-12-09T00:00:00.000,29,12530,70.6,30510.4,250,231994,608.7,564902.1,0.116,0.059,0,135,0,328.7,41068,60659-2023-49,"{'type': 'Point', 'coordinates': [-87.703266, 41.990803]}",50,20,4450,30,27
561,60659,5,2023-01-29T00:00:00.000,2023-02-04T00:00:00.000,57,11657,138.8,28384.6,1060,215461,2581.1,524644.5,0.051,0.059,1,131,2.4,319,41068,60659-2023-5,"{'type': 'Point', 'coordinates': [-87.703266, 41.990803]}",50,20,4450,30,27
562,60659,50,2023-12-10T00:00:00.000,2023-12-16T00:00:00.000,46,12576,112,30622.4,187,232181,455.3,565357.5,0.209,0.059,0,135,0,328.7,41068,60659-2023-50,"{'type': 'Point', 'coordinates': [-87.703266, 41.990803]}",50,20,4450,30,27
563,60659,6,2023-02-05T00:00:00.000,2023-02-11T00:00:00.000,52,11709,126.6,28511.2,988,216449,2405.8,527050.3,0.056,0.059,0,131,0,319,41068,60659-2023-6,"{'type': 'Point', 'coordinates': [-87.703266, 41.990803]}",50,20,4450,30,27
564,60659,7,2023-02-12T00:00:00.000,2023-02-18T00:00:00.000,35,11744,85.2,28596.5,1032,217481,2512.9,529563.2,0.044,0.059,0,131,0,319,41068,60659-2023-7,"{'type': 'Point', 'coordinates': [-87.703266, 41.990803]}",50,20,4450,30,27
565,60659,8,2023-02-19T00:00:00.000,2023-02-25T00:00:00.000,46,11790,112,28708.5,1117,218598,2719.9,532283,0.044,0.059,0,131,0,319,41068,60659-2023-8,"{'type': 'Point', 'coordinates': [-87.703266, 41.990803]}",50,20,4450,30,27
566,60659,9,2023-02-26T00:00:00.000,2023-03-04T00:00:00.000,47,11837,114.4,28822.9,1179,219777,2870.8,535153.9,0.036,0.059,0,131,0,319,41068,60659-2023-9,"{'type': 'Point', 'coordinates': [-87.703266, 41.990803]}",50,20,4450,30,27
567,60707,13,2024-03-24T00:00:00.000,2024-03-30T00:00:00.000,1,6245,2.3,14516.8,,0,0,0,0,0,0,68,0,158.1,43019,60707-2024-13,"{'type': 'Point', 'coordinates': [-87.808283, 41.921777]}",,,4454,,
568,Unknown,9,2021-02-28T00:00:00.000,2021-03-06T00:00:00.000,4,679,0,0,1370,101680,0,0,0.016,0.081,0,7,0,0,0,Unknown-2021-9,,,,,,
569,60617,14,2024-03-31T00:00:00.000,2024-04-06T00:00:00.000,8,21647,9.7,26228,0,0,0,0,0,0,0,264,0,319.9,82534,60617-2024-14,"{'type': 'Point', 'coordinates': [-87.556897, 41.721257]}",25,48,21202,527,47
570,60602,14,2024-03-31T00:00:00.000,2024-04-06T00:00:00.000,0,508,0,40836,0,0,0,0,0,0,0,3,0,241.2,1244,60602-2024-14,"{'type': 'Point', 'coordinates': [-87.628309, 41.883136]}",41,38,14310,92,36
571,60666,14,2024-03-31T00:00:00.000,2024-04-06T00:00:00.000,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,60666-2024-14,"{'type': 'Point', 'coordinates': [-87.896371, 41.979511]}",38,75,16197,668,29
572,60642,14,2024-03-31T00:00:00.000,2024-04-06T00:00:00.000,1,5862,5,29018.4,0,0,0,0,0,0,0,31,0,153.5,20201,60642-2024-14,"{'type': 'Point', 'coordinates': [-87.657821, 41.899935]}",49,25,22620,109,46
573,60607,14,2024-03-31T00:00:00.000,2024-04-06T00:00:00.000,2,9681,6.8,32716,0,0,0,0,0,0,0,20,0,67.6,29591,60607-2024-14,"{'type': 'Point', 'coordinates': [-87.652727, 41.876104]}",44,29,14917,87,26
574,60608,14,2024-03-31T00:00:00.000,2024-04-06T00:00:00.000,10,21783,12.6,27502.1,0,0,0,0,0,0,0,206,0,260.1,79205,60608-2024-14,"{'type': 'Point', 'coordinates': [-87.670366, 41.849879]}",43,33,14920,126,26
575,60601,14,2024-03-31T00:00:00.000,2024-04-06T00:00:00.000,2,5821,13.6,39666.1,0,0,0,0,0,0,0,15,0,102.2,14675,60601-2024-14,"{'type': 'Point', 'coordinates': [-87.622844, 41.886262]}",42,38,14309,580,36
576,60606,14,2024-03-31T00:00:00.000,2024-04-06T00:00:00.000,0,1310,0,42244.4,0,0,0,0,0,0,0,11,0,354.7,3101,60606-2024-14,"{'type': 'Point', 'coordinates': [-87.63676, 41.882634]}",46,38,14914,92,36
577,60613,14,2024-03-31T00:00:00.000,2024-04-06T00:00:00.000,5,14240,10,28415.8,0,0,0,0,0,0,0,72,0,143.7,50113,60613-2024-14,"{'type': 'Point', 'coordinates': [-87.661343, 41.953742]}",53,57,21186,725,25
578,60630,14,2024-03-31T00:00:00.000,2024-04-06T00:00:00.000,5,17902,8.7,31218.6,0,0,0,0,0,0,0,207,0,361,57344,60630-2024-14,"{'type': 'Point', 'coordinates': [-87.759611, 41.971261]}",48,11,21869,129,50
579,60641,14,2024-03-31T00:00:00.000,2024-04-06T00:00:00.000,7,23135,9.9,32574,0,0,0,0,0,0,1,208,1.4,292.9,71023,60641-2024-14,"{'type': 'Point', 'coordinates': [-87.746791, 41.946682]}",21,15,22618,139,21
580,60645,14,2024-03-31T00:00:00.000,2024-04-06T00:00:00.000,4,15400,8.4,32263.5,0,0,0,0,0,0,0,161,0,337.3,47732,60645-2024-14,"{'type': 'Point', 'coordinates': [-87.695049, 42.008927]}",12,20,22528,42,27
581,60646,14,2024-03-31T00:00:00.000,2024-04-06T00:00:00.000,6,9559,21.4,34155.1,0,0,0,0,0,0,0,107,0,382.3,27987,60646-2024-14,"{'type': 'Point', 'coordinates': [-87.761826, 41.993931]}",18,12,22532,782,38
582,60653,14,2024-03-31T00:00:00.000,2024-04-06T00:00:00.000,5,9571,15.6,29935.6,0,0,0,0,0,0,0,104,0,325.3,31972,60653-2024-14,"{'type': 'Point', 'coordinates': [-87.611244, 41.819261]}",36,4,4301,583,10
