zip_code,week_number,cases_cumulative,case_rate_cumulative,deaths_cumulative,death_rate_cumulative,population
60632,24,22352,24552.1,256,281.2,91039
60632,25,22482,24694.9,256,281.2,91039
60632,26,22600,24824.5,256,281.2,91039
60632,27,22737,24975,257,282.3,91039
60632,28,22905,25159.5,257,282.3,91039
60632,29,23056,25325.4,257,282.3,91039
60632,30,23189,25471.5,257,282.3,91039
60632,31,23345,25642.9,258,283.4,91039
60632,32,23486,25797.7,258,283.4,91039
60632,33,23611,25935,259,284.5,91039
60632,34,23749,26086.6,259,284.5,91039
60632,35,23892,26243.7,260,285.6,91039
60632,36,23986,26347,261,286.7,91039
60632,37,24078,26448,261,286.7,91039
60632,40,24251,26638,261,286.7,91039
60632,41,24321,26714.9,261,286.7,91039
60632,42,24398,26799.5,261,286.7,91039
60632,43,24509,26921.4,261,286.7,91039
60632,44,24578,26997.2,261,286.7,91039
60632,45,24672,27100.5,261,286.7,91039
60632,46,24754,27190.5,261,286.7,91039
60632,47,24815,27257.5,261,286.7,91039
60632,48,24939,27393.8,261,286.7,91039
60632,49,25057,27523.4,261,286.7,91039
60602,15,340,27331.2,3,241.2,1244
60602,16,348,27974.3,3,241.2,1244
60602,17,354,28456.6,3,241.2,1244
60602,18,359,28858.5,3,241.2,1244
60632,50,25198,27678.2,261,286.7,91039
60632,51,25294,27783.7,261,286.7,91039
60632,52,25374,27871.6,262,287.8,91039
60632,11,26287,28874.4,265,291.1,91039
60632,12,26338,28930.5,265,291.1,91039
60632,13,26394,28992,265,291.1,91039
60632,14,26421,29021.6,266,292.2,91039
60632,15,26455,29059,266,292.2,91039
60632,16,26484,29090.8,266,292.2,91039
60632,17,26510,29119.4,266,292.2,91039
60632,2,25532,28045.1,263,288.9,91039
60633,15,3372,26198.4,30,233.1,12871
60633,16,3374,26214,30,233.1,12871
60632,35,26789,29425.9,266,292.2,91039
60632,36,26824,29464.3,266,292.2,91039
60632,37,26845,29487.4,266,292.2,91039
60632,38,26869,29513.7,266,292.2,91039
60632,14,27749,30480.3,270,296.6,91039
60632,16,27763,30495.7,270,296.6,91039
60638,16,19748,33586.7,210,357.2,58797
60639,16,31153,34416.7,320,353.5,90517
60641,15,23143,32585.2,208,292.9,71023
60641,16,23148,32592.3,208,292.9,71023
60641,6,23024,32417.7,207,291.5,71023
60641,8,23071,32483.8,207,291.5,71023
60645,15,15409,32282.3,161,337.3,47732
60645,16,15418,32301.2,161,337.3,47732
60646,15,9566,34180.2,107,382.3,27987
60649,15,3268,7100.6,149,323.7,46024
60649,16,3347,7272.3,150,325.9,46024
60649,17,3441,7476.5,151,328.1,46024
60649,18,3519,7646,151,328.1,46024
60649,19,3576,7769.9,153,332.4,46024
60649,21,3649,7928.5,156,339,46024
60649,22,3665,7963.2,157,341.1,46024
60649,23,3680,7995.8,157,341.1,46024
60649,24,3686,8008.9,157,341.1,46024
60649,25,3697,8032.8,157,341.1,46024
60649,26,3700,8039.3,157,341.1,46024
60649,27,3703,8045.8,158,343.3,46024
60649,28,3717,8076.2,158,343.3,46024
60649,29,3740,8126.2,158,343.3,46024
60649,30,3776,8204.4,159,345.5,46024
60649,31,3805,8267.4,160,347.6,46024
60649,32,3855,8376.1,160,347.6,46024
60649,33,3901,8476,160,347.6,46024
60649,34,3975,8636.8,162,352,46024
60649,35,4029,8754.1,162,352,46024
60649,36,4064,8830.2,165,358.5,46024
60602,19,362,29099.7,3,241.2,1244
60602,2,307,24678.5,3,241.2,1244
60602,20,369,29662.4,3,241.2,1244
60602,21,374,30064.3,3,241.2,1244
60602,22,379,30466.2,3,241.2,1244
60602,23,392,31511.3,3,241.2,1244
60602,24,397,31913.2,3,241.2,1244
60602,25,403,32395.5,3,241.2,1244
60602,26,408,32797.4,3,241.2,1244
60649,37,4124,8960.5,167,362.9,46024
60649,38,4170,9060.5,168,365,46024
60649,39,4225,9180,169,367.2,46024
60649,40,4255,9245.2,172,373.7,46024
60649,41,4286,9312.5,173,375.9,46024
60649,42,4309,9362.5,173,375.9,46024
60649,43,4339,9427.7,173,375.9,46024
60649,44,4384,9525.5,174,378.1,46024
60649,45,4456,9681.9,178,386.8,46024
60649,46,4532,9847,181,393.3,46024
60649,47,4589,9970.9,181,393.3,46024
60649,48,4689,10188.2,182,395.4,46024
60649,49,4839,10514.1,182,395.4,46024
60649,50,5219,11339.7,183,397.6,46024
60649,51,5854,12719.5,185,402,46024
60649,52,6624,14392.5,189,410.7,46024
60649,1,7154,15544.1,195,423.7,46024
60649,10,7785,16915.1,219,475.8,46024
60649,11,7801,16949.9,219,475.8,46024
60649,12,7810,16969.4,219,475.8,46024
60649,13,7813,16975.9,219,475.8,46024
60649,14,7826,17004.2,219,475.8,46024
60649,15,7848,17052,219,475.8,46024
60649,16,7879,17119.3,219,475.8,46024
60649,17,7923,17214.9,219,475.8,46024
60649,18,8001,17384.4,219,475.8,46024
60649,19,8104,17608.2,219,475.8,46024
